Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
line;lev0food;lev1food;typ0food;typ1food;lev0area;lev1area;typ0area;typ1area;lev0price;lev1price;typ0price;typ1price;lev0add;lev1add;typ0add;typ1add
im looking for a moderately priced restaurant that serves;thai;thai;;thai;north;north;;;;;;;;spicy;;
moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
cheap;thai;thai;;;;west;;;;;;;;;;
im looking for a restaurant that serves seafood;;;;;north;north;;;;;;;;;;
hello welcome to the cambridge system;;thai;;;north;north;;;;cheap;;;;;;
restaurant in the north part of town serv;;thai;;;;;;;;;;;;;;
i need a restaurant in the north;;thai;;;;;;;;;;;;;;
im looking for am expensive restaurant in the south part;korean;thai;;;;;;;;;;;;spicy;;
a cheap mexican restaurant;thai;cuban;;;;west;;;;;;;;;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
i need a restaurant in the west part of town that serves europ;thai;thai;european;thai;;;;;;cheap;;;;;;
i need a restaurant serving crossover food in the west part of town;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center serving greek food;korean;thai;;;;;;;;cheap;;;;;;
im looking for a cheap restaurant;thai;thai;;;north;north;;;;;;;;;;
english food center part of town;;british;;;;;;;;;;;;;;
uh expensive restaurant in the south;;thai;;;;;;;;;;;;spicy;;
im looking for corsica food;;persian;;;;;;;;;;;;;;
moderate price in south;;persian;;;;;;;;;;;spicy;spicy;;spicy
im looking for a moderately priced restaurant that serves turkish food;;;;;north;north;;;;;;;;spicy;;
mexican food;african;african;;;;;;;;;;;;;;
i want to find a restaurant in the south part of town;indian;thai;;;;;;;;;;;;spicy;;
iam looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
venetian food;;indian;;;;;;;;;;;;;;
i want to find moderately priced restaurant it should be;;african;;;south;east;;;;;;;;spicy;;
i want a restaurant in the unintelligible that serves belgium food;thai;thai;;thai;;west;;;;;;;;;;
im looking for a cheap restaurant in the west part of;cuban;thai;;;;;;;;;;;;;;
im moderate priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
i want an expensive restaurant in the east part of town;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the north;korean;thai;;;;;;;;;;;;;;
breath id like to find a moderately priced restaurant in the west part of;french;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the south;korean;thai;;;;;;;;;;;;spicy;;
