Column1;Column2;Column3;Column4;Column5;Column6;Column7
line;lev0;lev1;typ0;typ1;TRUE;FALSE
looking for a cheap restaurant in the north part of town;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;FALSE
im 5ooking for a 3estaurant in the south part of town and danish food;Do you want a restaurant with spanish cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;TRUE
joderately;Do you want a restaurant at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;FALSE;FALSE
5m looking for ` cheap restaurant in the north part of town;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
i would like a cheap restaurant in the north part 7f town;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
yes id like an `xpensive 2estaurant in the east part of town;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
uh a cheap restaurant in the east 9art of 2own;Do you want a restaurant with cuban cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
i would like to find a restaurant in the west part of 3own that 1erves;Do you want a restaurant with thai cuisine in the west part of town .;Do you want a restaurant in the west part of town .;Do you want a restaurant with thai cuisine in the west part of town .;;FALSE;TRUE
4d like a cheap restaurant in the north part of town;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
im looking for a cheap restaurant in the south 9art of town;Do you want a restaurant with cuban cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
im looking for ` cheap restaurant 5n the north part;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
1panish 3ood;Do you want a restaurant with spanish cuisine .;Do you want a restaurant with spanish cuisine .;Do you want a restaurant with spanish cuisine .;;FALSE;TRUE
looking for romanian food in 3he center of town;Do you want a restaurant with romanian cuisine in the centre part of town with this additional requirement: romantic.;Do you want a restaurant with romanian cuisine in the centre part of town .;Do you want a restaurant with romanian cuisine in the centre part of town .;;FALSE;TRUE
im looking for q cheap restaurant in the north part of town;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;FALSE
im looking for a moderate priced restaurant in the north 8art of town;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;TRUE
i want a cheap restaurant `n the east part of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
